ASCII Trace IXXAT MiniMon V3  Version: 1.1.2.4268
Date: 12/4/2019
Start time: 4:34:02 PM
Stop time: 4:34:09 PM
Overruns: 0  Errorframes: 0                                          
Baudrate: 125 kbit/s
"Time","Identifier (hex)","Format","Flags","Data (hex)"
"00:00:41.311","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.315","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.319","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.323","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.327","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.332","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.336","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.340","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.344","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.348","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.352","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.356","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.360","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.364","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.368","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.372","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.377","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.381","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.385","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.389","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.393","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.397","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.401","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.405","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.409","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.413","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.418","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.422","CC","Std","","00 1A 00 1A 00 96 09 09"
